time,object_type,speed
11,person,2
11,person,2
12,person,3
12,person,3
12,car,129
13,car,891
15,car,1420
16,car,2572
16,car,2611
17,car,4246
21,person,2
21,person,2
22,person,3
22,person,3
31,person,2
31,person,2
32,person,3
32,person,3
32,car,108
34,person,70
34,car,2098
35,person,71
35,person,70
35,person,70
35,person,70
35,person,70
35,person,70
35,person,70
35,person,70
36,person,71
36,person,71
36,person,71
36,person,71
36,person,71
36,person,71
36,person,71
36,bike,39
36,car,992
36,car,1934
36,car,2579
38,car,2547
38,car,4321
38,car,3117
40,car,3558
41,person,2
41,car,2605
42,person,3
45,person,70
45,person,70
45,person,70
45,person,70
46,person,71
46,person,71
46,person,71
46,person,71
51,person,2
52,person,3
52,car,129
54,car,822
54,car,1836
55,person,70
55,person,70
55,person,70
55,person,70
55,person,70
56,person,71
56,person,71
56,person,71
56,person,71
56,person,71
56,car,1999
56,car,2619
58,car,3078
59,car,5047
60,car,2981
65,person,70
65,person,70
65,person,70
65,person,70
66,person,71
66,person,71
66,person,71
66,person,71
68,person,137
68,person,137
68,person,137
68,person,138
68,person,138
68,person,138
69,person,137
69,person,137
69,person,138
69,person,138
69,person,138
69,person,138
70,person,139
70,person,139
71,person,2
71,person,2
72,person,3
72,person,3
72,bike,74
72,bike,74
72,bike,74
72,car,129
74,car,652
74,car,1836
75,person,69
75,person,70
75,person,70
75,person,70
75,person,70
75,person,70
75,car,1266
76,person,71
76,person,71
76,person,71
76,person,71
77,car,2208
77,car,1465
79,person,137
79,person,137
79,person,137
79,person,137
79,person,137
79,person,137
79,person,138
79,person,138
79,person,138
79,person,138
79,person,138
79,person,138
79,car,2374
80,car,4651
81,car,3582
82,bike,74
82,bike,74
85,person,70
85,person,70
85,person,70
85,person,70
85,person,70
85,person,70
86,person,71
86,person,71
86,person,71
86,person,71
86,person,71
86,person,71
89,person,137
89,person,137
89,person,137
89,person,137
89,person,137
89,person,138
89,person,138
89,person,138
89,person,138
89,person,138
89,person,138
89,person,138
90,person,139
90,person,139
92,bike,74
92,bike,74
92,car,129
94,car,1836
95,person,70
95,person,70
95,person,70
95,person,70
95,person,70
96,person,71
96,person,71
96,person,71
96,person,71
96,person,71
96,car,992
96,car,2584
98,car,2547
98,car,3117
99,person,137
99,person,137
99,person,137
99,person,137
99,person,137
99,person,137
99,person,138
99,person,138
99,person,138
99,person,138
99,person,138
99,person,138
99,person,138
99,person,138
